[l,n]	Base4h	Base16h	Base32
[10,799]	'30133	'c7L	'ov
[5,25]	'30H	'cH	'p
[6,50]	'302	'cK	'
[7,100]	'302G	'cQ	'
[8,200]	'3020	'c8	'
[9,400]	'3020G	'c8G	'
[10,800]	'30200	'c8I	'p0
[10,801]	'30201	'c8J	'p1
[9,401]	'3020H	'c8H	'
[10,802]	'30202	'c8K	'p2
[10,803]	'30203	'c8L	'p3
[8,201]	'3021	'c9	'
[9,402]	'3021G	'c9G	'
[10,804]	'30210	'c9I	'p4
[10,805]	'30211	'c9J	'p5
[9,403]	'3021H	'c9H	'
[10,806]	'30212	'c9K	'p6
[10,807]	'30213	'c9L	'p7
[7,101]	'302H	'cR	'
[8,202]	'3022	'ca	'
[9,404]	'3022G	'caG	'
[10,808]	'30220	'caI	'p8
[10,809]	'30221	'caJ	'p9
[9,405]	'3022H	'caH	'
[10,810]	'30222	'caK	'pa
[10,811]	'30223	'caL	'pb
[8,203]	'3023	'cb	'
[9,406]	'3023G	'cbG	'
[10,812]	'30230	'cbI	'pc
[10,813]	'30231	'cbJ	'pd
[9,407]	'3023H	'cbH	'
[10,814]	'30232	'cbK	'pe
[10,815]	'30233	'cbL	'pf
[6,51]	'303	'cL	'
[7,102]	'303G	'cS	'
[8,204]	'3030	'cc	'
[9,408]	'3030G	'ccG	'
[10,816]	'30300	'ccI	'pg
[10,817]	'30301	'ccJ	'ph
[9,409]	'3030H	'ccH	'
[10,818]	'30302	'ccK	'pi
[10,819]	'30303	'ccL	'pj
[8,205]	'3031	'cd	'
[9,410]	'3031G	'cdG	'
[10,820]	'30310	'cdI	'pk
[10,821]	'30311	'cdJ	'pl
[9,411]	'3031H	'cdH	'
[10,822]	'30312	'cdK	'pm
[10,823]	'30313	'cdL	'pn
[7,103]	'303H	'cT	'
[8,206]	'3032	'ce	'
[9,412]	'3032G	'ceG	'
[10,824]	'30320	'ceI	'po
[10,825]	'30321	'ceJ	'pp
[9,413]	'3032H	'ceH	'
[10,826]	'30322	'ceK	'pq
[10,827]	'30323	'ceL	'pr
[8,207]	'3033	'cf	'
[9,414]	'3033G	'cfG	'
[10,828]	'30330	'cfI	'ps
[10,829]	'30331	'cfJ	'pt
[9,415]	'3033H	'cfH	'
[10,830]	'30332	'cfK	'pu
[10,831]	'30333	'cfL	'pv
[4,13]	'31	'd	'
[5,26]	'31G	'dG	'q
[6,52]	'310	'dI	'
[7,104]	'310G	'dM	'
[8,208]	'3100	'd0	'
[9,416]	'3100G	'd0G	'
[10,832]	'31000	'd0I	'q0
[10,833]	'31001	'd0J	'q1
[9,417]	'3100H	'd0H	'
[10,834]	'31002	'd0K	'q2
[10,835]	'31003	'd0L	'q3
[8,209]	'3101	'd1	'
[9,418]	'3101G	'd1G	'
[10,836]	'31010	'd1I	'q4
[10,837]	'31011	'd1J	'q5
[9,419]	'3101H	'd1H	'
[10,838]	'31012	'd1K	'q6
[10,839]	'31013	'd1L	'q7
[7,105]	'310H	'dN	'
[8,210]	'3102	'd2	'
[9,420]	'3102G	'd2G	'
[10,840]	'31020	'd2I	'q8
[10,841]	'31021	'd2J	'q9
[9,421]	'3102H	'd2H	'
[10,842]	'31022	'd2K	'qa
[10,843]	'31023	'd2L	'qb
[8,211]	'3103	'd3	'
[9,422]	'3103G	'd3G	'
[10,844]	'31030	'd3I	'qc
[10,845]	'31031	'd3J	'qd
[9,423]	'3103H	'd3H	'
[10,846]	'31032	'd3K	'qe
[10,847]	'31033	'd3L	'qf
[6,53]	'311	'dJ	'
[7,106]	'311G	'dO	'
[8,212]	'3110	'd4	'
[9,424]	'3110G	'd4G	'
[10,848]	'31100	'd4I	'qg
[10,849]	'31101	'd4J	'qh
[9,425]	'3110H	'd4H	'
[10,850]	'31102	'd4K	'qi
[10,851]	'31103	'd4L	'qj
[8,213]	'3111	'd5	'
[9,426]	'3111G	'd5G	'
[10,852]	'31110	'd5I	'qk
[10,853]	'31111	'd5J	'ql
[9,427]	'3111H	'd5H	'
[10,854]	'31112	'd5K	'qm
[10,855]	'31113	'd5L	'qn
[7,107]	'311H	'dP	'
[8,214]	'3112	'd6	'
[9,428]	'3112G	'd6G	'
[10,856]	'31120	'd6I	'qo
[10,857]	'31121	'd6J	'qp
[9,429]	'3112H	'd6H	'
[10,858]	'31122	'd6K	'qq
[10,859]	'31123	'd6L	'qr
[8,215]	'3113	'd7	'
[9,430]	'3113G	'd7G	'
[10,860]	'31130	'd7I	'qs
[10,861]	'31131	'd7J	'qt
[9,431]	'3113H	'd7H	'
[10,862]	'31132	'd7K	'qu
[10,863]	'31133	'd7L	'qv
[5,27]	'31H	'dH	'r
[6,54]	'312	'dK	'
[7,108]	'312G	'dQ	'
[8,216]	'3120	'd8	'
[9,432]	'3120G	'd8G	'
[10,864]	'31200	'd8I	'r0
[10,865]	'31201	'd8J	'r1
[9,433]	'3120H	'd8H	'
[10,866]	'31202	'd8K	'r2
[10,867]	'31203	'd8L	'r3
[8,217]	'3121	'd9	'
[9,434]	'3121G	'd9G	'
[10,868]	'31210	'd9I	'r4
[10,869]	'31211	'd9J	'r5
[9,435]	'3121H	'd9H	'
[10,870]	'31212	'd9K	'r6
[10,871]	'31213	'd9L	'r7
[7,109]	'312H	'dR	'
[8,218]	'3122	'da	'
[9,436]	'3122G	'daG	'
[10,872]	'31220	'daI	'r8
[10,873]	'31221	'daJ	'r9
[9,437]	'3122H	'daH	'
[10,874]	'31222	'daK	'ra
[10,875]	'31223	'daL	'rb
[8,219]	'3123	'db	'
[9,438]	'3123G	'dbG	'
[10,876]	'31230	'dbI	'rc
[10,877]	'31231	'dbJ	'rd
[9,439]	'3123H	'dbH	'
[10,878]	'31232	'dbK	're
[10,879]	'31233	'dbL	'rf
[6,55]	'313	'dL	'
[7,110]	'313G	'dS	'
[8,220]	'3130	'dc	'
[9,440]	'3130G	'dcG	'
[10,880]	'31300	'dcI	'rg
[10,881]	'31301	'dcJ	'rh
[9,441]	'3130H	'dcH	'
[10,882]	'31302	'dcK	'ri
[10,883]	'31303	'dcL	'rj
[8,221]	'3131	'dd	'
[9,442]	'3131G	'ddG	'
[10,884]	'31310	'ddI	'rk
[10,885]	'31311	'ddJ	'rl
[9,443]	'3131H	'ddH	'
[10,886]	'31312	'ddK	'rm
[10,887]	'31313	'ddL	'rn
[7,111]	'313H	'dT	'
[8,222]	'3132	'de	'
[9,444]	'3132G	'deG	'
[10,888]	'31320	'deI	'ro
[10,889]	'31321	'deJ	'rp
[9,445]	'3132H	'deH	'
[10,890]	'31322	'deK	'rq
[10,891]	'31323	'deL	'rr
[8,223]	'3133	'df	'
[9,446]	'3133G	'dfG	'
[10,892]	'31330	'dfI	'rs
[10,893]	'31331	'dfJ	'rt
[9,447]	'3133H	'dfH	'
[10,894]	'31332	'dfK	'ru
[10,895]	'31333	'dfL	'rv
[3,7]	'3H	'T	'
[4,14]	'32	'e	'
[5,28]	'32G	'eG	's
[6,56]	'320	'eI	'
[7,112]	'320G	'eM	'
[8,224]	'3200	'e0	'
[9,448]	'3200G	'e0G	'
[10,896]	'32000	'e0I	's0
[10,897]	'32001	'e0J	's1
[9,449]	'3200H	'e0H	'
[10,898]	'32002	'e0K	's2
[10,899]	'32003	'e0L	's3
[8,225]	'3201	'e1	'
[9,450]	'3201G	'e1G	'
[10,900]	'32010	'e1I	's4
[10,901]	'32011	'e1J	's5
[9,451]	'3201H	'e1H	'
[10,902]	'32012	'e1K	's6
[10,903]	'32013	'e1L	's7
[7,113]	'320H	'eN	'
[8,226]	'3202	'e2	'
[9,452]	'3202G	'e2G	'
[10,904]	'32020	'e2I	's8
[10,905]	'32021	'e2J	's9
[9,453]	'3202H	'e2H	'
[10,906]	'32022	'e2K	'sa
[10,907]	'32023	'e2L	'sb
[8,227]	'3203	'e3	'
[9,454]	'3203G	'e3G	'
[10,908]	'32030	'e3I	'sc
[10,909]	'32031	'e3J	'sd
[9,455]	'3203H	'e3H	'
[10,910]	'32032	'e3K	'se
[10,911]	'32033	'e3L	'sf
[6,57]	'321	'eJ	'
[7,114]	'321G	'eO	'
[8,228]	'3210	'e4	'
[9,456]	'3210G	'e4G	'
[10,912]	'32100	'e4I	'sg
[10,913]	'32101	'e4J	'sh
[9,457]	'3210H	'e4H	'
[10,914]	'32102	'e4K	'si
[10,915]	'32103	'e4L	'sj
[8,229]	'3211	'e5	'
[9,458]	'3211G	'e5G	'
[10,916]	'32110	'e5I	'sk
[10,917]	'32111	'e5J	'sl
[9,459]	'3211H	'e5H	'
[10,918]	'32112	'e5K	'sm
[10,919]	'32113	'e5L	'sn
[7,115]	'321H	'eP	'
[8,230]	'3212	'e6	'
[9,460]	'3212G	'e6G	'
[10,920]	'32120	'e6I	'so
[10,921]	'32121	'e6J	'sp
[9,461]	'3212H	'e6H	'
[10,922]	'32122	'e6K	'sq
[10,923]	'32123	'e6L	'sr
[8,231]	'3213	'e7	'
[9,462]	'3213G	'e7G	'
[10,924]	'32130	'e7I	'ss
[10,925]	'32131	'e7J	'st
[9,463]	'3213H	'e7H	'
[10,926]	'32132	'e7K	'su
[10,927]	'32133	'e7L	'sv
[5,29]	'32H	'eH	't
[6,58]	'322	'eK	'
[7,116]	'322G	'eQ	'
[8,232]	'3220	'e8	'
[9,464]	'3220G	'e8G	'
[10,928]	'32200	'e8I	't0
[10,929]	'32201	'e8J	't1
[9,465]	'3220H	'e8H	'
[10,930]	'32202	'e8K	't2
[10,931]	'32203	'e8L	't3
[8,233]	'3221	'e9	'
[9,466]	'3221G	'e9G	'
[10,932]	'32210	'e9I	't4
[10,933]	'32211	'e9J	't5
[9,467]	'3221H	'e9H	'
[10,934]	'32212	'e9K	't6
[10,935]	'32213	'e9L	't7
[7,117]	'322H	'eR	'
[8,234]	'3222	'ea	'
[9,468]	'3222G	'eaG	'
[10,936]	'32220	'eaI	't8
[10,937]	'32221	'eaJ	't9
[9,469]	'3222H	'eaH	'
[10,938]	'32222	'eaK	'ta
[10,939]	'32223	'eaL	'tb
[8,235]	'3223	'eb	'
[9,470]	'3223G	'ebG	'
[10,940]	'32230	'ebI	'tc
[10,941]	'32231	'ebJ	'td
[9,471]	'3223H	'ebH	'
[10,942]	'32232	'ebK	'te
[10,943]	'32233	'ebL	'tf
[6,59]	'323	'eL	'
[7,118]	'323G	'eS	'
[8,236]	'3230	'ec	'
[9,472]	'3230G	'ecG	'
[10,944]	'32300	'ecI	'tg
[10,945]	'32301	'ecJ	'th
[9,473]	'3230H	'ecH	'
[10,946]	'32302	'ecK	'ti
[10,947]	'32303	'ecL	'tj
[8,237]	'3231	'ed	'
[9,474]	'3231G	'edG	'
[10,948]	'32310	'edI	'tk
[10,949]	'32311	'edJ	'tl
[9,475]	'3231H	'edH	'
[10,950]	'32312	'edK	'tm
[10,951]	'32313	'edL	'tn
[7,119]	'323H	'eT	'
[8,238]	'3232	'ee	'
[9,476]	'3232G	'eeG	'
[10,952]	'32320	'eeI	'to
[10,953]	'32321	'eeJ	'tp
[9,477]	'3232H	'eeH	'
[10,954]	'32322	'eeK	'tq
[10,955]	'32323	'eeL	'tr
[8,239]	'3233	'ef	'
[9,478]	'3233G	'efG	'
[10,956]	'32330	'efI	'ts
[10,957]	'32331	'efJ	'tt
[9,479]	'3233H	'efH	'
[10,958]	'32332	'efK	'tu
[10,959]	'32333	'efL	'tv
[4,15]	'33	'f	'
[5,30]	'33G	'fG	'u
[6,60]	'330	'fI	'
[7,120]	'330G	'fM	'
[8,240]	'3300	'f0	'
[9,480]	'3300G	'f0G	'
[10,960]	'33000	'f0I	'u0
[10,961]	'33001	'f0J	'u1
[9,481]	'3300H	'f0H	'
[10,962]	'33002	'f0K	'u2
[10,963]	'33003	'f0L	'u3
[8,241]	'3301	'f1	'
[9,482]	'3301G	'f1G	'
[10,964]	'33010	'f1I	'u4
[10,965]	'33011	'f1J	'u5
[9,483]	'3301H	'f1H	'
[10,966]	'33012	'f1K	'u6
[10,967]	'33013	'f1L	'u7
[7,121]	'330H	'fN	'
[8,242]	'3302	'f2	'
[9,484]	'3302G	'f2G	'
[10,968]	'33020	'f2I	'u8
[10,969]	'33021	'f2J	'u9
[9,485]	'3302H	'f2H	'
[10,970]	'33022	'f2K	'ua
[10,971]	'33023	'f2L	'ub
[8,243]	'3303	'f3	'
[9,486]	'3303G	'f3G	'
[10,972]	'33030	'f3I	'uc
[10,973]	'33031	'f3J	'ud
[9,487]	'3303H	'f3H	'
[10,974]	'33032	'f3K	'ue
[10,975]	'33033	'f3L	'uf
[6,61]	'331	'fJ	'
[7,122]	'331G	'fO	'
[8,244]	'3310	'f4	'
[9,488]	'3310G	'f4G	'
[10,976]	'33100	'f4I	'ug
[10,977]	'33101	'f4J	'uh
[9,489]	'3310H	'f4H	'
[10,978]	'33102	'f4K	'ui
[10,979]	'33103	'f4L	'uj
[8,245]	'3311	'f5	'
[9,490]	'3311G	'f5G	'
[10,980]	'33110	'f5I	'uk
[10,981]	'33111	'f5J	'ul
[9,491]	'3311H	'f5H	'
[10,982]	'33112	'f5K	'um
[10,983]	'33113	'f5L	'un
[7,123]	'331H	'fP	'
[8,246]	'3312	'f6	'
[9,492]	'3312G	'f6G	'
[10,984]	'33120	'f6I	'uo
[10,985]	'33121	'f6J	'up
[9,493]	'3312H	'f6H	'
[10,986]	'33122	'f6K	'uq
[10,987]	'33123	'f6L	'ur
[8,247]	'3313	'f7	'
[9,494]	'3313G	'f7G	'
[10,988]	'33130	'f7I	'us
[10,989]	'33131	'f7J	'ut
[9,495]	'3313H	'f7H	'
[10,990]	'33132	'f7K	'uu
[10,991]	'33133	'f7L	'uv
[5,31]	'33H	'fH	'v
[6,62]	'332	'fK	'
[7,124]	'332G	'fQ	'
[8,248]	'3320	'f8	'
[9,496]	'3320G	'f8G	'
[10,992]	'33200	'f8I	'v0
[10,993]	'33201	'f8J	'v1
[9,497]	'3320H	'f8H	'
[10,994]	'33202	'f8K	'v2
[10,995]	'33203	'f8L	'v3
[8,249]	'3321	'f9	'
[9,498]	'3321G	'f9G	'
[10,996]	'33210	'f9I	'v4
[10,997]	'33211	'f9J	'v5
[9,499]	'3321H	'f9H	'
[10,998]	'33212	'f9K	'v6
[10,999]	'33213	'f9L	'v7
[7,125]	'332H	'fR	'
[8,250]	'3322	'fa	'
[9,500]	'3322G	'faG	'
[10,1000]	'33220	'faI	'v8
[10,1001]	'33221	'faJ	'v9
[9,501]	'3322H	'faH	'
[10,1002]	'33222	'faK	'va
[10,1003]	'33223	'faL	'vb
[8,251]	'3323	'fb	'
[9,502]	'3323G	'fbG	'
[10,1004]	'33230	'fbI	'vc
[10,1005]	'33231	'fbJ	'vd
[9,503]	'3323H	'fbH	'
[10,1006]	'33232	'fbK	've
[10,1007]	'33233	'fbL	'vf
[6,63]	'333	'fL	'
[7,126]	'333G	'fS	'
[8,252]	'3330	'fc	'
[9,504]	'3330G	'fcG	'
[10,1008]	'33300	'fcI	'vg
[10,1009]	'33301	'fcJ	'vh
[9,505]	'3330H	'fcH	'
[10,1010]	'33302	'fcK	'vi
[10,1011]	'33303	'fcL	'vj
[8,253]	'3331	'fd	'
[9,506]	'3331G	'fdG	'
[10,1012]	'33310	'fdI	'vk
[10,1013]	'33311	'fdJ	'vl
[9,507]	'3331H	'fdH	'
[10,1014]	'33312	'fdK	'vm
[10,1015]	'33313	'fdL	'vn
[7,127]	'333H	'fT	'
[8,254]	'3332	'fe	'
[9,508]	'3332G	'feG	'
[10,1016]	'33320	'feI	'vo
[10,1017]	'33321	'feJ	'vp
[9,509]	'3332H	'feH	'
[10,1018]	'33322	'feK	'vq
[10,1019]	'33323	'feL	'vr
[8,255]	'3333	'ff	'
[9,510]	'3333G	'ffG	'
[10,1020]	'33330	'ffI	'vs
[10,1021]	'33331	'ffJ	'vt
[9,511]	'3333H	'ffH	'
[10,1022]	'33332	'ffK	'vu
[10,1023]	'33333	'ffL	'vv
